id,city,name,latitude,longitude,pickup_phone,pickup_time
335,Кропивницький,"вул. Академіка Корольова, 2",48.5029006,32.237674,380673019428,ПН - НД 7:00 - 20:00
2657,Одеса,"вул. академіка Корольова, 43-Е",46.396381,30.724125,380674588304,ПН - НД 8:00 - 21:00
2685,Одеса,"вул. академіка Корольова, 70",46.400277,30.722716,380970002308,ПН - НД 9:00 - 21:00
587,Кременчук,"вул. Академіка Маслова, 15/4",49.065853,33.404485,380677429469,ПН - НД 8:00 - 21:00
2291,Одеса,"вул. Академіка Філатова, 40",46.437416,30.715725,380965867126,ПН - НД 8:00 - 21:00
2654,Вінниця,"вул. Академіка Янгеля, 56",49.242995,28.480984,380970002513,ПН - НД 8:00 - 21:00
133,Кривий Ріг,"вул. Алмазна, 14",47.8987009,33.2945073,380675302369,ПН - НД 8:00 - 21:00
3079,Ніжин,"вул. Амосова академіка, 2-Б/3",51.062013,31.892406,380973736399,ПН - НД 8:00 - 21:00
877,Харків,"вул. Амосова, 34-А",49.98375,36.35669,380671768730,ПН - НД 8:00 - 21:00
2351,Березне,"вул. Андріївська, 8",51.002265,26.754622,380673033826,ПН - НД 9:00 - 19:00
2253,Київ,"вул. Андрія Верхогляда, 14-А",50.411679,30.543792,380972021417,ПН - НД 9:00 - 21:00
2338,Київ,"вул. Андрія Шептицького Митрополита, 22",50.456136,30.593669,380979597039,ПН - НД 9:00 - 21:00
3130,Козятин,"вул. Антоновича В., 1",49.717414,28.835444,380979580930,ПН - НД 8:00 - 20:00
2495,Київ,"вул. Антоновича, 165",50.415224,30.52185,380979443149,ПН - НД 8:00 - 21:00
3232,Охтирка,вул. Армійська 1,50.29966,34.8883,0970004769,ПН - НД 8:00 - 21:00
35,Дніпро,"вул. Артеківська, 20/14",48.511676,35.075753,380675397870,ПН - НД 7:00 - 21:00
3182,Миколаїв,вул. Архітектора Старова 1,47.01864,32.0047,0979579635,ПН - НД 8:00 - 21:00
3186,Київ,вул. Ахматової Анни 46-А (2й поверх),50.406308185737906,30.61744256385226,,ПН - НД 8:00 - 21:00
2604,Київ,"вул. Ахматової Анни, 14-А",50.410677,30.63428,380970002951,ПН - НД 8:00 - 21:00
2593,Хоростків,"вул. Б. Лепкого, 2",49.211694,25.922546,380673015453,ПН - НД 8:00 - 19:00
331,Горохів,"вул. Б. Хмельницького , 2-А",50.50584,24.76644,380672579156,ПН - НД 8:00 - 21:00
3180,Якушинці,вул. Б. Хмельницького 42-А,49.257336,28.367251,0972017832,ПН - НД 8:00 - 21:00
2051,Хотів,"вул. Б. Хмельницького, 1",50.327138,30.469036,380972557189,ПН - НД 8:00 - 21:00
565,Жмеринка,"вул. Б. Хмельницького, 10",49.034166,28.115128,380679086256,ПН - НД 7:00 - 20:00
700,Самбір,"вул. Б. Хмельницького, 12",49.515151,23.198127,380671418017,ПН - НД 8:00 - 21:00
2416,Попільня,"вул. Б. Хмельницького, 12-А",49.946842,29.458829,380979572803,ПН - НД 8:00 - 21:00
2242,Погребище,"вул. Б. Хмельницького, 132-Г",49.489462,29.251161,380672626599,ПН - НД 8:00 - 20:00
2450,Тлумач,"вул. Б. Хмельницького, 2",48.859743,25.003052,380674530547,ПН - НД 8:00 - 20:00
703,Калуш,"вул. Б. Хмельницького, 24",49.039487,24.356253,380671417920,ПН - НД 8:00 - 21:00
